id,Block names,Initial Input Ports Explicit,Initial Input Ports Implicit,Initial Output Ports Explicit,Initial Output Ports Implicit,Initial Control Ports,Initial Command Ports,Initial Display Parameter,Variable Input Ports Explicit,Variable Input Ports Implicit,Variable Output Ports Explicit,Variable Output Ports Implicit,Variable Control ports,Variable Command Ports,Variable Display Parameter,P000,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018,P019
54,ABS_VALUE,1,0,1,0,0,0,ABS,1,0,1,0,0,0,ABS,use zero crossing (0/1)?,,,,,,,,,,,,,,,,,,,
166,AFFICH_m,1,0,0,0,1,0,0.0,1,0,0,0,0/1,0,0.0,input size,font number,font size,color,total number of digits,number of rational part digits,block inherits (0/1)?,,,,,,,,,,,,,
34,ANDBLK,0,0,0,0,2,1,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
35,ANDLOG_f,0,0,1,0,2,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
20,AUTOMAT,2,0,2,0,0,1,"Automaton nM=2, nX=1",2,0,2,0,0,1,"Automaton nM=2, nX=1",Number(finite state) Mode,Initial Mode,Number of continuous timestates,Continuous time states initial value,Xproperties of continuous time states in each mode,Jump from Mode 1:[..;M_final(Guard=In(1).i);..],Jump from Mode 2:[..;M_final(Guard=In(1).i);..],,,,,,,,,,,,,
209,Bache,0,2,1,2,0,0,,2,2,3,2,0,0,,Pression dans le ciel de la bache: Patm(pa),Section de la bache : A(m2),Altitude du piquage de entree : ze1(m),Altitude du piquage de entree : ze2(m),Altitude du piquage de sortie 1: zs1(m),Altitude du piquage de sortie 2: zs2(m),Altitude de initiale du fluide : z0(m),Temperature initiale du fluide : T0(K),"Si>0, masse volumique imposee du fluide : p_rho(kg/m3)",,,,,,,,,,,
14,BACKLASH,1,0,1,0,0,0,Backlash,1,0,1,0,0,0,Backlash,initial output,gap,"use zero crossing(0:no, 1:yes)",,,,,,,,,,,,,,,,,
167,BARXY,2,0,0,0,1,0,,2,0,0,0,1,0,,Xmin,Xmax,Ymin,Ymax,Segs Thickness,,,,,,,,,,,,,,,
55,BIGSOM_f,2,0,1,0,0,0,,n,0,1,0,0,0,,Inputs port sign/gain,,,,,,,,,,,,,,,,,,,
125,BITCLEAR,1,0,1,0,0,0,Clear bit 0,1,0,1,0,0,0,Clear bit 0,"Data type (3:int32, 4:int16, 5:int8,..)",Index of Bit( 0is least significant),,,,,,,,,,,,,,,,,,
126,BITSET,1,0,1,0,0,0,Set bit 0,1,0,1,0,0,0,Set bit 0,"Data type (3:int32, 4:int16, 5:int8,..)",Index of Bit( 0is least significant),,,,,,,,,,,,,,,,,,
215,BOUNCE,0,0,2,0,0,0,Bouncing balls,0,0,2,0,0,0,Bouncing balls,Mass,Radius,"[xmin,xmax,ymin,ymax]",xpos,xdpos,ypos,ydpos,g(gravity),C(aerodynamic coeff),,,,,,,,,,,
216,BOUNCEXY,2,0,0,0,1,0,,2,0,0,0,1,0,,colors,radii,window number( -1 for automatic),"animation mode(0,1)",Xmin,Xmax,Ymin,Ymax,,,,,,,,,,,,
217,BPLATFORM,2,0,0,0,1,0,,2,0,0,0,1,0,,pendulum length,cart size (square side),slope,Xmin,Xmax,Ymin,Ymax,,,,,,,,,,,,,
218,c_block,1,0,1,0,0,0,C block : toto,1,0,1,0,0,0,C block : n,simulation function,"is block implicit(y,n)",input ports size,output ports size,input event ports size,output event ports size,initial continuous state,number of zero crossing surfaces,initial discrete state,Real parameters vector,Integer parameter vector,Initial firing vector(0< for no firing),direct feedthrough( y or n),time dependence (y or n),,,,,,
168,CANIMXY,2,0,0,0,1,0,,2,0,0,0,1,0,,Number of curves,color(>0) or mark(<0),line or mark size,Output window number,Output window size,Xmin,Xmax,Ymin,Ymax,Buffer size,,,,,,,,,,
169,CANIMXY3D,3,0,0,0,1,0,,3,0,0,0,1,0,,Number of curves,color(>0) or mark(<0),line or mark size,Output window number,Output window position,Output window sizes,Xmin and Xmax,Ymin and Ymax,Zmin and Zmax,Alpha and Theta,Buffer size,,,,,,,,,
102,Capacitor,0,1,0,1,0,0,,1,1,1,1,0,0,,C(F),Initial Voltage,,,,,,,,,,,,,,,,,,
219,CBLOCK,1,0,1,0,0,0,C block 2: toto,1,0,1,0,0/1,0/1,C block 2 : n,simulation function,"is block implicit(y,n)",input ports sizes,output ports sizes,input event ports sizes,output events ports size,initial continuous state,number of zero crossing surfaces,initial discrete state,Real parameters vector,Integer parameters vector,Initial firing vector(0< for no firing),direct feedthrough( y or n),time dependence (y or n),,,,,,
220,CBLOCK4,1,0,1,0,0,0,C block 4: toto,1,0,1,0,0/2,0,C block 4 : n,simulation function,"is block implicit(y,n)",input ports sizes,input ports type,Output ports size,Output ports type,Input event ports sizes,Output events ports sizes,Initial continuous state,Initial discrete state,Initial object state,Real parameters vector,Integer parameters vector,Object paramters list,Number of modes,Number of zero crossing,Initial firing vector(0< for no firing),direct feedthrough( y or n),time dependence (y or n),
103,CCS,1,1,0,1,0,0,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
36,CEVENTSCOPE,0,0,0,0,1,0,,0,0,0,0,1,0,,Number of event inputs,color(>0) or mark(<0),Output window number,Output window position,Output window size,Refresh period,,,,,,,,,,,,,,
170,CFSCOPE,0,0,0,0,1,0,,0,0,0,0,1,0,,color(>0) or mark(<0) vector,Output window number,Output window position,Ymin,Ymax,Refresh period,Buffer size,Links to view,,,,,,,,,,,,
3,CLINDUMMY_f,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
140,CLKFROM,0,0,0,0,0,1,A,0,0,0,0,0,1,n,Tag,,,,,,,,,,,,,,,,,,,
141,CLKGOTO,0,0,0,0,1,0,A,0,0,0,0,1,0,n,Tag,"Tag Visibility(1=Local, 2=Scoped, 3=Global)",,,,,,,,,,,,,,,,,,
37,CLKGotoTagVisibility,0,0,0,0,0,0,{A},0,0,0,0,0,0,{n},GoToTag,,,,,,,,,,,,,,,,,,,
