1	4xxx	14529	1	STX	1	R	1	0	I
2	4xxx	14529	2	X0	2	R	1	0	I
3	4xxx	14529	3	X1	3	R	1	0	I
4	4xxx	14529	4	X2	4	R	1	0	I
5	4xxx	14529	5	X3	5	R	1	0	I
6	4xxx	14529	6	A	6	R	1	0	I
7	4xxx	14529	7	B	7	R	1	0	I
8	4xxx	14529	8	VSS	8	U	1	0	W
9	4xxx	14529	9	Z	9	L	1	0	T
10	4xxx	14529	10	W	10	L	1	0	T
11	4xxx	14529	11	Y3	11	R	1	0	I
12	4xxx	14529	12	Y2	12	R	1	0	I
13	4xxx	14529	13	Y1	13	R	1	0	I
14	4xxx	14529	14	Y0	14	R	1	0	I
15	4xxx	14529	15	STY	15	R	1	0	I
16	4xxx	14529	16	VDD	16	D	1	0	W
17	4xxx	4001	1	~	1	R	1	1	I
18	4xxx	4001	2	~	2	R	1	1	I
19	4xxx	4001	3	~	3	L	1	1	O
20	4xxx	4001	4	~	4	L	2	1	O
21	4xxx	4001	5	~	5	R	2	1	I
22	4xxx	4001	6	~	6	R	2	1	I
23	4xxx	4001	7	VSS	7	U	5	0	W
24	4xxx	4001	8	~	8	R	3	1	I
25	4xxx	4001	9	~	9	R	3	1	I
26	4xxx	4001	10	~	10	L	3	1	O
27	4xxx	4001	11	~	11	L	4	1	O
28	4xxx	4001	12	~	12	R	4	1	I
29	4xxx	4001	13	~	13	R	4	1	I
30	4xxx	4001	14	VDD	14	D	5	0	W
31	4xxx	4002	1	~	1	L	1	1	O
32	4xxx	4002	2	~	2	R	1	1	I
33	4xxx	4002	3	~	3	R	1	1	I
34	4xxx	4002	4	~	4	R	1	1	I
35	4xxx	4002	5	~	5	R	1	1	I
36	4xxx	4002	7	VSS	7	U	3	0	W
37	4xxx	4002	9	~	9	R	2	1	I
38	4xxx	4002	10	~	10	R	2	1	I
39	4xxx	4002	11	~	11	R	2	1	I
40	4xxx	4002	12	~	12	R	2	1	I
41	4xxx	4002	13	~	13	L	2	1	O
42	4xxx	4002	14	VDD	14	D	3	0	W
43	4xxx	4009	1	VCC	1	D	7	0	W
44	4xxx	4009	2	~	2	L	1	0	O
45	4xxx	4009	3	~	3	R	1	0	I
46	4xxx	4009	4	~	4	L	2	0	O
47	4xxx	4009	5	~	5	R	2	0	I
48	4xxx	4009	6	~	6	L	3	0	O
49	4xxx	4009	7	~	7	R	3	0	I
50	4xxx	4009	8	VSS	8	U	7	0	W
51	4xxx	4009	9	~	9	R	4	0	I
52	4xxx	4009	10	~	10	L	4	0	O
53	4xxx	4009	11	~	11	R	5	0	I
54	4xxx	4009	12	~	12	L	5	0	O
55	4xxx	4009	14	~	14	R	6	0	I
56	4xxx	4009	15	~	15	L	6	0	O
57	4xxx	4009	16	VDD	16	D	7	0	W
58	4xxx	4010	1	VCC	1	D	7	0	W
59	4xxx	4010	2	~	2	L	1	0	O
60	4xxx	4010	3	~	3	R	1	0	I
61	4xxx	4010	4	~	4	L	2	0	O
62	4xxx	4010	5	~	5	R	2	0	I
63	4xxx	4010	6	~	6	L	3	0	O
64	4xxx	4010	7	~	7	R	3	0	I
65	4xxx	4010	8	VSS	8	U	7	0	W
66	4xxx	4010	9	~	9	R	4	0	I
67	4xxx	4010	10	~	10	L	4	0	O
68	4xxx	4010	11	~	11	R	5	0	I
69	4xxx	4010	12	~	12	L	5	0	O
70	4xxx	4010	14	~	14	R	6	0	I
71	4xxx	4010	15	~	15	L	6	0	O
72	4xxx	4010	16	VDD	16	D	7	0	W
73	4xxx	40106	1	~	1	R	1	0	I
74	4xxx	40106	2	~	2	L	1	0	O
75	4xxx	40106	3	~	3	R	2	0	I
76	4xxx	40106	4	~	4	L	2	0	O
77	4xxx	40106	5	~	5	R	3	0	I
78	4xxx	40106	6	~	6	L	3	0	O
79	4xxx	40106	7	VSS	7	U	7	0	W
80	4xxx	40106	8	~	8	L	4	0	O
81	4xxx	40106	9	~	9	R	4	0	I
82	4xxx	40106	10	~	10	L	5	0	O
83	4xxx	40106	11	~	11	R	5	0	I
84	4xxx	40106	12	~	12	L	6	0	O
85	4xxx	40106	13	~	13	R	6	0	I
86	4xxx	40106	14	VDD	14	D	7	0	W
87	4xxx	4011	1	~	1	R	1	1	I
88	4xxx	4011	2	~	2	R	1	1	I
89	4xxx	4011	3	~	3	L	1	1	O
90	4xxx	4011	4	~	4	L	2	1	O
91	4xxx	4011	5	~	5	R	2	1	I
92	4xxx	4011	6	~	6	R	2	1	I
93	4xxx	4011	7	VSS	7	U	5	0	W
94	4xxx	4011	8	~	8	R	3	1	I
