Block Name,P000,P000 Type,P000 Default,P001,P001 Type,P001 Default,P002,P002 Type,P002 Default,P003,P003 Type,P003 Default,P004,P004 Type,P004 Default,P005,P005 Type,P005 Default,P006,P006 Type,P006 Default,P007,P007 Type,P007 Default,P008,P008 Type,P008 Default,P009,P009 Type,P009 Default,P010,P010 Type,P010 Default,P011,P011 Type,P011 Default,P012,P012 Type,P012 Default,P013,P013 Type,P013 Default,P014,P014 Type,P014 Default,P015,P015 Type,P015 Default,P016,P016 Type,P016 Default,P017,P017 Type,P017 Default,P018,P018 Type,P018 Default,P019,P019 Type,P019 Default
ABS_VALUE,use zero crossing (0/1)?,boolean,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFFICH_m,input size,vector of doubles,"[1,1]",Font number,double,1,Font size,double,1,Color,double,1,Total number of digits (>3),integer,5,Number of frational part digits,integer,1,"Inherit (0=no, 1=yes)",boolean,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANDBLK,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANDLOG_f,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUTOMAT,Number(finite state) Mode,integer,2,Initial Mode,integer,1,Number of continuous timestates,integer,1,Continuous time states initial value,integer,0,Xproperties of continuous time states in each mode,vector of integers,[1;1],Jump from Mode 1:[..;M_final(Guard=In(1).i);..],integer,2,Jump from Mode 2:[..;M_final(Guard=In(1).i);..],integer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bache,Pressure at the reservoir surface : Patm (pa),double,101300,Reservoir section : A (m2),double,1,Altitude of input connection #1: ze1 (m),double,40,Altitude of input connection #2: ze2 (m),double,0,Altitude of outlet connection #1: zs1 (m),double,40,Altitude of outlet connection #2: zs2 (m),double,0,Starting fluid altitude : z0 (m),double,30,Initial fluid temperature : T0 (K),double,290,"If >0, fixed fluid density : p_rho (kg/m3)",double,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BACKLASH,Initial output,double,0,Gap,double,1,"Use zero crossing (0=no, 1=yes)",boolean,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARXY,Xmin,double,-15,Xmax,double,15,Ymin,double,-15,Ymax,double,15,Segs Thickness,double,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIGSOM_f,Inputs port sign/gain,vector of doubles,[1;1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BITCLEAR,"Datatype (3=int32, 4=int16, 5=int8)",integer,3,Index of bit (0 is least significant),integer,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
