Block Names,Display Label,Explicit Input Ports,Implicit Input Ports,Control Ports,Explicit Output Ports,Implicit Output Ports,Command Ports,Display Parameter,Simulation Function,Variable Explicit Input Ports,Variable Implicit Input Ports,Variable Control Ports,Variable Explicit Output Ports,Variable Implicit Output Ports,Variable Command Ports,Variable Display Parameter
ABS_VALUE,,1,0,0,1,0,0,,absolute_value,,,,,,,
AFFICH_m,%s,1,0,1,0,0,0,0.0,affich2,,,(ScilabString[exprs] -> data[6][0]) == 0,,,,0.0
ANDBLK,,0,0,2,0,0,1,,csuper,,,,,,,
ANDLOG_f,,0,0,2,1,0,0,,andlog,,,,,,,
AUTOMAT,Automaton<BR>%s modes | %s states,2,0,0,2,0,1,"2,1",automat,ScilabString[exprs] -> data[0][0],,,,,,"parameters[0],parameters[2]"
Bache,,0,2,0,1,2,0,,Bache,,,,,,,
BACKLASH,,1,0,0,1,0,0,,backlash,,,,,,,
BARXY,,2,0,1,0,0,0,,BARXY_sim,,,,,,,
BIGSOM_f,,2,0,0,1,0,0,,sum,ScilabString[exprs] -> data[0][0],,,,,,
BITCLEAR,Clear bit %s,1,0,0,1,0,0,0,bit_clear_32,,,,,,,parameters[1]
BITSET,Set bit %s,1,0,0,1,0,0,0,bit_set_32,,,,,,,parameters[1]
BOUNCE,,0,0,0,2,0,0,,bounce_ball,,,,,,,
BOUNCEXY,,2,0,1,0,0,0,,bouncexy,,,,,,,
BPLATFORM,,2,0,1,0,0,0,,bplatform2,,,,,,,
c_block,C block:<BR>%s,1,0,0,1,0,0,toto,toto,,,,,,,parameters[3]
CANIMXY,,2,0,1,0,0,0,,canimxy,,,,,,,
CANIMXY3D,,3,0,1,0,0,0,,canimxy3d,,,,,,,
Capacitor,%sF,0,1,0,0,1,0,10 m,Capacitor,,,,,,,format(parameters[0])
CBLOCK,C block 2:<BR>%s,1,0,0,1,0,0,toto,toto,,,(Array[exprs]->1st ScilabString ->  data[4][0]) ==1,,,(Array[exprs]->1st ScilabString ->  data[5][0]) ==1,parameters[0]
CBLOCK4,C block 4:<BR>%s,1,0,0,1,0,0,toto,toto,,,(Array[exprs]->1st ScilabString ->  data[6][0]) ==1,,,(Array[exprs]->1st ScilabString ->  data[7][0]) ==1,parameters[0]
CCS,,1,1,0,0,1,0,,CCS,,,,,,,
CEVENTSCOPE,,0,0,1,0,0,0,,cevscpe,,,ScilabString[exprs] -> data[0][0],,,,
CFSCOPE,,0,0,1,0,0,0,,cfscope,,,,,,,
CLINDUMMY_f,,0,0,0,0,0,0,,cdummy,,,,,,,
CLKFROM,%s,0,0,0,0,0,1,A,clkfrom,,,,,,,parameters[0]
CLKGOTO,%s,0,0,1,0,0,0,A,clkgoto,,,,,,,parameters[0]
CLKGotoTagVisibility,{%s},0,0,0,0,0,0,A,clkgototagvisibility,,,,,,,parameters[0]
CLKINV_f,%s,0,0,0,0,0,1,1,input,,,,,,,parameters[0]
CLKOUTV_f,%s,0,0,1,0,0,0,1,output,,,,,,,parameters[0]
CLKSOMV_f,,0,0,3,0,0,1,,sum,,,,,,,
CLOCK_c,,0,0,0,0,0,1,,csuper,,,,,,,
CLR,%s<BR><HR>%s,1,0,0,1,0,0,"1,1+s",csslti4,,,,,,,"parameters[0],parameters[1]"
CLSS,,1,0,0,1,0,0,,csslti4,,,,,,,
CMAT3D,,1,0,1,0,0,0,,cmat3d,,,,,,,
CMATVIEW,,1,0,1,0,0,0,,cmatview,,,,,,,
CMSCOPE,,2,0,1,0,0,0,,cmscope,len(ScilabString[exprs] -> data[0][0]),,(ScilabString[exprs] -> data[9][0]) == 0,,,,
CONST,%s,0,0,0,1,0,0,1,cstblk4,,,,,,,parameters[0]
CONST_f,%s,0,0,0,1,0,0,1,cstblk,,,,,,,parameters[0]
CONST_m,%s,0,0,0,1,0,0,1,cstblk4_m,,,,,,,parameters[0]
ConstantVoltage,%sV,0,1,0,0,1,0,10 m,ConstantVoltage,,,,,,,format(parameters[0])
CONSTRAINT_c,x == %s,1,0,0,1,0,0,0,constraint_c,,,,,,,parameters[0]
CONSTRAINT2_c,x  == %s<BR>x' == %s,1,0,0,2,0,0,"0,0",constraint_c,,,,,,,"parameters[0],parameters[1]"
CONVERT,CONVERT<BR>%s<BR>=><BR>%s,1,0,0,1,0,0,"decim,int32",convert,,,,,,,"typeformat(parameters[0]),typeformat(parameters[1])"
COSBLK_f,,1,0,0,1,0,0,,cosblk,,,,,,,
Counter,Counter<BR>%s &#8594; %s,0,0,1,1,0,0,"0,2",counter,,,,,,,"parameters[0],parameters[1]"
CSCOPE,,1,0,1,0,0,0,,cscope,,,(ScilabString[exprs] -> data[8][0]) == 0,,,,
CSCOPXY,,2,0,1,0,0,0,,cscopxy,,,,,,,
CSCOPXY3D,,3,0,1,0,0,0,,cscopxy3d,,,,,,,
CUMSUM,,1,0,0,1,0,0,,cumsum_m,,,,,,,
CurrentSensor,,0,1,0,1,1,0,,CurrentSensor,,,,,,,
CURV_f,,0,0,0,1,0,0,,intplt,,,,,,,
CVS,,1,1,0,0,1,0,,CVS,,,,,,,
DEADBAND,,1,0,0,1,0,0,,deadband,,,,,,,
DEBUG,Debug:<BR>%s,0,0,0,0,0,0,"xcos_debug_gui(flag, block);",%debug_scicos,,,,,,,parameters[0]
DELAY_f,,1,0,0,1,0,0,,csuper,,,,,,,
DELAYV_f,,2,0,1,1,0,2,,delayv,,,,,,,
DEMUX,,1,0,0,2,0,0,,multiplex,,,,ScilabString[exprs] -> data[0][0]],,,
DEMUX_f,,1,0,0,2,0,0,,demux,,,,ScilabString[exprs] -> data[0][0]],,,
DERIV,,1,0,0,1,0,0,,deriv,,,,,,,
DFLIPFLOP,,3,0,0,2,0,0,,csuper,,,,,,,
DIFF_f,,1,0,0,1,0,0,,diffblk,,,,,,,
Diode,,0,1,0,0,1,0,,Diode,,,,,,,
DLATCH,,2,0,0,2,0,0,,csuper,,,,,,,
DLR,%s<BR><HR>%s,1,0,1,1,0,0,"1,1+z",dsslti4,,,,,,,"parameters[0],parameters[1]"
DLRADAPT_f,,2,0,1,1,0,0,,dlradp,,,,,,,
DLSS,,1,0,1,1,0,0,,dsslti4,,,,,,,
DOLLAR,,1,0,1,1,0,0,,dollar4,,,(ScilabString[exprs] -> data[1][0]) == 0,,,,
DOLLAR_f,,1,0,1,1,0,0,,dollar,,,(ScilabString[exprs] -> data[1][0]) == 0,,,,
DOLLAR_m,,1,0,1,1,0,0,,dollar4,,,(ScilabString[exprs] -> data[1][0]) == 0,,,,
EDGE_TRIGGER,,1,0,0,0,0,1,,csuper,,,,,,,
END_c,,0,0,1,0,0,1,,scicosexit,,,,,,,
ENDBLK,,0,0,0,0,0,0,,csuper,,,,,,,
ESELECT_f,,1,0,1,0,0,2,,eselect,,,(ScilabString[exprs] -> data[1][0]) == 0,,,ScilabString[exprs] -> data[0][0]],
EVTDLY_c,Delay: %s,0,0,1,0,0,1,0.1,evtdly4,,,,,,,parameters[0]
EVTGEN_f,Event at<BR>         time %s,0,0,0,0,0,1,0,trash,,,,,,,parameters[0]
EVTVARDLY,,1,0,1,0,0,1,,evtvardly,,,,,,,
EXPBLK_m,%s^u,1,0,0,1,0,0,%e,expblk_m,,,,,,,parameters[0]
EXPRESSION,Expression:<BR>%s,2,0,0,1,0,0,(u1>0)*sin(u2)^2,evaluate_expr,,,,,,,parameters[1]
EXTRACT,,1,0,0,1,0,0,,extract,,,,,,,
Extract_Activation,,1,0,0,0,0,1,,csuper,,,,,,,
EXTRACTBITS,Extract Bits %s,1,0,0,1,0,0,1,extract_bit_32_UH0,,,,,,,parameters[1]
EXTRACTOR,,1,0,0,1,0,0,,extractor,,,,,,,
EXTTRI,,1,0,0,1,0,0,,exttril,,,,,,,
Flowmeter,,0,1,0,1,1,0,,Flowmeter,,,,,,,
fortran_block,Fortran block:<BR>%s,1,0,0,1,0,0,forty,forty,,,,,,,parameters[3]
freq_div,,0,0,1,0,0,1,,csuper,,,,,,,
FROM,%s,0,0,0,1,0,0,A,from,,,,,,,parameters[0]
FROMMO,%s,0,0,0,0,1,0,A,frommo,,,,,,,parameters[0]
FROMWSB,From workspace<BR>[ %s ],0,0,0,1,0,0,Z,csuper,,,,,,,parameters[0]
GAIN_f,%s,1,0,0,1,0,0,1,gain,,,,,,,parameters[0]
GAINBLK,%s,1,0,0,1,0,0,1,gainblk,,,,,,,parameters[0]
GAINBLK_f,%s,1,0,0,1,0,0,1,gain,,,,,,,parameters[0]
GENERAL_f,,1,0,0,0,0,1,,zcross,,,,,,ScilabString[exprs] -> data[1][0],
generic_block3,native block:<BR>%s,1,0,0,1,0,0,sinblk,sinblk,,,ScilabString[exprs] -> data[6][0],,,ScilabString[exprs] -> data[7][0],parameters[0]
GENSIN_f,,0,0,0,1,0,0,,gensin,,,,,,,
GENSQR_f,,0,0,1,1,0,0,,gensqr,,,,,,,
GOTO,%s,1,0,0,0,0,0,A,goto,,,,,,,parameters[0]
GOTOMO,%s,0,1,0,0,0,0,A,gotomo,,,,,,,parameters[0]
GotoTagVisibility,"<FONT SIZE=\""6\"">{%s}</FONT>",0,0,0,0,0,0,A,gototagvisibility,,,,,,,parameters[0]
GotoTagVisibilityMO,"<FONT SIZE=\""6\"">{%s}</FONT>",0,0,0,0,0,0,A,gototagvisibilitymo,,,,,,,parameters[0]
Ground,,0,1,0,0,0,0,,Ground,,,,,,,
Gyrator,,0,2,0,0,2,0,,Gyrator,,,,,,,
HALT_f,,0,0,1,0,0,0,,hltblk,,,,,,,
HYSTHERESIS,,1,0,0,1,0,0,,hystheresis,,,,,,,
IdealTransformer,,0,2,0,0,2,0,,IdealTransformer,,,,,,,
IFTHEL_f,,1,0,1,0,0,2,,ifthel,,,(ScilabString[exprs] -> data[0][0]) == 1,,,,
IN_f,%s,0,0,0,1,0,0,1,input,,,,,,,parameters[0]
Inductor,%sH,0,1,0,0,1,0,10 μ,Inductor,,,,,,,format(parameters[0])
INIMPL_f,%s,0,0,0,0,1,0,1,inimpl,,,,,,,parameters[0]
INTEGRAL_f,,1,0,0,1,0,0,,integr,,,,,,,
INTEGRAL_m,,1,0,0,1,0,0,,integral_func,2 if (ScilabString[exprs] -> data[1][0]) == 1 else 1,,(ScilabString[exprs] -> data[1][0]) == 1,,,,
INTMUL,,2,0,0,1,0,0,,matmul_i32n,,,,,,,
INTRP2BLK_f,,2,0,0,1,0,0,,intrp2,,,,,,,
INTRPLBLK_f,,1,0,0,1,0,0,,intrpl,,,,,,,
INVBLK,,1,0,0,1,0,0,,invblk4,,,,,,,
ISELECT_m,,1,0,2,2,0,0,,selector_m,,,ScilabString[exprs] -> data[1][0],ScilabString[exprs] -> data[1][0],,,
JKFLIPFLOP,,3,0,0,2,0,0,,csuper,,,,,,,
LOGBLK_f,,1,0,0,1,0,0,,logblk,,,,,,,
LOGIC,,2,0,1,1,0,0,,logic,log2(ScilabString[exprs] -> data[0][0])),,(ScilabString[exprs] -> data[1][0]) == 0,,,,
LOGICAL_OP,%s,2,0,0,1,0,0,AND,logicalop,ScilabString[exprs] -> data[0][0],,,,,,logicalformat(parameters[0])
LOOKUP_f,,1,0,0,1,0,0,,lookup,,,,,,,
M_freq,,0,0,1,0,0,3,,m_frequ,,,,,,2 ^ len(ScilabString[exprs] -> data[0][0]) - 1 ,
M_SWITCH,,3,0,0,1,0,0,,mswitch,ScilabString[exprs] -> data[0][0] + 1,,,,,,
MATBKSL,,2,0,0,1,0,0,,mat_bksl,,,,,,,
